ImageId,Label
1,2
2,0
3,8
4,2
5,7
6,2
7,0
8,9
9,0
10,4
11,5
12,2
13,3
14,0
15,2
16,0
17,7
18,1
19,3
20,0
21,3
22,9
23,4
24,5
25,3
26,8
27,4
28,3
29,8
30,2
31,8
32,5
33,3
34,9
35,6
36,2
37,0
38,5
39,9
40,0
41,2
42,3
43,2
44,8
45,8
46,3
47,8
48,9
49,6
50,1
51,6
52,8
53,8
54,3
55,8
56,2
57,9
58,2
59,2
60,7
61,2
62,4
63,8
64,0
65,0
66,0
67,1
68,8
69,0
70,4
71,6
72,5
73,8
74,8
75,2
76,8
77,8
78,3
79,2
80,9
81,5
82,8
83,9
84,0
85,3
86,9
87,2
88,3
89,2
90,3
91,4
92,7
93,6
94,6
95,4
96,4
97,3
98,8
99,3
100,3
101,0
102,9
103,7
104,0
105,2
106,3
107,0
108,5
109,0
110,3
111,0
112,0
113,6
114,2
115,9
116,7
117,4
118,9
119,3
120,3
121,7
122,3
123,2
124,9
125,6
126,9
127,8
128,7
129,8
130,8
131,3
132,8
133,6
134,0
135,0
136,0
137,7
138,7
139,9
140,6
141,8
142,7
143,2
144,5
145,5
146,8
147,3
148,8
149,2
150,8
151,2
152,7
153,5
154,6
155,5
156,3
157,3
158,3
159,3
160,8
161,3
162,0
163,2
164,9
165,7
166,9
167,2
168,6
169,3
170,0
171,2
172,2
173,8
174,6
175,9
176,3
177,3
178,8
179,9
180,2
181,2
182,7
183,5
184,2
185,2
186,3
187,2
188,9
189,6
190,0
191,6
192,4
193,2
194,8
195,6
196,0
197,1
198,3
199,6
200,2
201,9
202,9
203,0
204,1
205,2
206,0
207,8
208,2
209,6
210,2
211,0
212,3
213,3
214,6
215,2
216,2
217,9
218,6
219,3
220,1
221,2
222,3
223,1
224,4
225,2
226,0
227,1
228,6
229,1
230,6
231,0
232,5
233,3
234,4
235,7
236,9
237,2
238,3
239,8
240,6
241,4
242,6
243,4
244,9
245,5
246,5
247,1
248,8
249,9
250,8
251,8
252,3
253,3
254,3
255,8
256,2
257,5
258,9
259,8
260,7
261,6
262,9
263,3
264,5
265,3
266,0
267,6
268,4
269,6
270,9
271,6
272,0
273,6
274,3
275,8
276,5
277,9
278,5
279,3
280,6
281,0
282,2
283,2
284,0
285,9
286,7
287,3
288,9
289,2
290,5
291,8
292,3
293,2
294,2
295,2
296,6
297,9
298,0
299,4
300,9
301,6
302,5
303,8
304,9
305,6
306,9
307,3
308,4
309,8
310,5
311,8
312,6
313,8
314,0
315,0
316,3
317,8
318,8
319,9
320,5
321,8
322,4
323,9
324,9
325,8
326,2
327,5
328,9
329,5
330,3
331,6
332,3
333,9
334,9
335,0
336,8
337,0
338,0
339,6
340,0
341,6
342,3
343,9
344,8
345,9
346,0
347,6
348,5
349,2
350,8
351,6
352,3
353,3
354,4
355,5
356,8
357,8
358,2
359,2
360,7
361,3
362,6
363,7
364,9
365,8
366,2
367,7
368,8
369,9
370,6
371,5
372,9
373,3
374,3
375,3
376,2
377,9
378,5
379,3
380,7
381,2
382,5
383,5
384,2
385,4
386,6
387,4
388,7
389,7
390,0
391,9
392,3
393,0
394,3
395,2
396,7
397,9
398,7
399,3
400,9
401,9
402,2
403,6
404,9
405,1
406,7
407,2
408,7
409,0
410,5
411,7
412,0
413,8
414,4
415,7
416,3
417,9
418,9
419,7
420,5
421,3
422,6
423,6
424,6
425,7
426,9
427,1
428,2
429,0
430,3
431,8
432,8
433,5
434,2
435,6
436,1
437,9
438,3
439,5
440,0
441,4
442,3
443,3
444,8
445,3
446,2
447,1
448,5
449,3
450,5
451,8
452,3
453,6
454,2
455,7
456,3
457,2
458,3
459,5
460,6
461,6
462,3
463,5
464,0
465,5
466,9
467,2
468,3
469,8
470,1
471,9
472,2
473,3
474,5
475,6
476,0
477,8
478,7
479,9
480,0
481,3
482,8
483,9
484,4
485,8
486,2
487,3
488,8
489,3
490,2
491,0
492,8
493,7
494,8
495,2
496,5
497,5
498,3
499,4
500,0
501,6
502,5
503,2
504,9
505,4
506,4
507,9
508,7
509,0
510,6
511,3
512,8
513,8
514,3
515,5
516,3
517,4
518,3
519,2
520,5
521,3
522,3
523,0
524,2
525,7
526,7
527,0
528,9
529,9
530,3
531,0
532,8
533,3
534,8
535,3
536,5
537,6
538,5
539,5
540,7
541,0
542,8
543,8
544,2
545,0
546,7
547,0
548,8
549,4
550,1
551,4
552,7
553,0
554,3
555,7
556,0
557,3
558,5
559,6
560,8
561,0
562,4
563,3
564,9
565,6
566,5
567,2
568,1
569,9
570,7
571,2
572,5
573,9
574,6
575,0
576,8
577,8
578,2
579,2
580,2
581,5
582,4
583,7
584,6
585,2
586,7
587,3
588,7
589,8
590,0
591,8
592,8
593,4
594,5
595,7
596,6
597,2
598,6
599,0
600,0
601,7
602,9
603,2
604,9
605,6
606,2
607,8
608,5
609,6
610,1
611,5
612,2
613,4
614,7
615,4
616,8
617,3
618,0
619,0
620,3
621,9
622,5
623,9
624,2
625,0
626,8
627,8
628,9
629,2
630,2
631,6
632,9
633,8
634,2
635,9
636,8
637,5
638,3
639,8
640,7
641,0
642,9
643,3
644,6
645,0
646,2
647,2
648,8
649,1
650,8
651,5
652,8
653,0
654,7
655,3
656,2
657,2
658,3
659,7
660,3
661,2
662,4
663,2
664,0
665,2
666,3
667,4
668,3
669,7
670,6
671,3
672,3
673,2
674,3
675,9
676,3
677,2
678,9
679,6
680,0
681,6
682,2
683,9
684,9
685,1
686,3
687,2
688,2
689,8
690,3
691,8
692,6
693,0
694,9
695,8
696,3
697,9
698,3
699,8
700,8
701,2
702,0
703,5
704,0
705,6
706,0
707,8
708,8
709,6
710,5
711,1
712,8
713,9
714,5
715,3
716,2
717,2
718,9
719,7
720,8
721,2
722,7
723,9
724,0
725,9
726,0
727,2
728,8
729,2
730,5
731,3
732,4
733,9
734,6
735,7
736,2
737,7
738,9
739,7
740,5
741,4
742,2
743,3
744,1
745,7
746,5
747,0
748,1
749,8
750,6
751,2
752,9
753,8
754,1
755,2
756,1
757,3
758,9
759,4
760,2
761,7
762,0
763,2
764,0
765,8
766,0
767,0
768,9
769,9
770,8
771,6
772,5
773,0
774,9
775,5
776,9
777,4
778,6
779,3
780,4
781,9
782,2
783,2
784,8
785,3
786,5
787,9
788,8
789,8
790,8
791,5
792,0
793,8
794,0
795,4
796,3
797,9
798,6
799,2
800,3
801,7
802,9
803,9
804,3
805,1
806,5
807,3
808,6
809,5
810,3
811,5
812,8
813,2
814,7
815,2
816,2
817,0
818,8
819,5
820,2
821,7
822,0
823,5
824,0
825,9
826,1
827,0
828,4
829,3
830,2
831,8
832,4
833,5
834,5
835,4
836,5
837,6
838,1
839,5
840,8
841,4
842,2
843,0
844,8
845,5
846,6
847,3
848,2
849,9
850,5
851,8
852,3
853,8
854,2
855,4
856,8
857,9
858,3
859,2
860,5
861,0
862,8
863,4
864,5
865,2
866,3
867,6
868,8
869,9
870,9
871,2
872,5
873,3
874,9
875,7
876,3
877,1
878,3
879,0
880,7
881,2
882,2
883,1
884,1
885,7
886,7
887,9
888,5
889,4
890,8
891,1
892,1
893,2
894,0
895,2
896,2
897,3
898,6
899,7
900,7
901,7
902,7
903,5
904,3
905,3
906,7
907,9
908,7
909,2
910,2
911,2
912,0
913,4
914,8
915,9
916,0
917,2
918,6
919,9
920,0
921,2
922,7
923,5
924,5
925,2
926,2
927,8
928,2
929,6
930,3
931,9
932,2
933,9
934,2
935,5
936,7
937,2
938,3
939,9
940,5
941,6
942,0
943,6
944,9
945,0
946,3
947,3
948,2
949,3
950,4
951,6
952,9
953,5
954,2
955,3
956,2
957,8
958,7
959,0
960,2
961,2
962,8
963,8
964,0
965,9
966,7
967,9
968,8
969,2
970,4
971,9
972,6
973,8
974,6
975,1
976,0
977,8
978,0
979,3
980,2
981,5
982,8
983,3
984,8
985,2
986,3
987,0
988,5
989,4
990,2
991,9
992,2
993,9
994,6
995,9
996,9
997,6
998,4
999,4
1000,3
1001,0
1002,8
1003,0
1004,3
1005,9
1006,3
1007,2
1008,6
1009,7
1010,3
1011,2
1012,6
1013,7
1014,2
1015,9
1016,3
1017,2
1018,3
1019,8
1020,8
1021,8
1022,1
1023,8
1024,6
1025,2
1026,6
1027,9
1028,5
1029,5
1030,9
1031,8
1032,9
1033,8
1034,9
1035,1
1036,5
1037,3
1038,5
1039,9
1040,0
1041,9
1042,6
1043,9
1044,2
1045,2
1046,4
1047,2
1048,5
1049,2
1050,6
1051,2
1052,6
1053,9
1054,5
1055,8
1056,1
1057,9
1058,9
1059,6
1060,7
1061,0
1062,0
1063,2
1064,0
1065,5
1066,2
1067,5
1068,0
1069,4
1070,8
1071,8
1072,7
1073,5
1074,6
1075,3
1076,2
1077,6
1078,9
1079,2
1080,8
1081,3
1082,0
1083,2
1084,4
1085,3
1086,5
1087,6
1088,6
1089,7
1090,4
1091,9
1092,4
1093,0
1094,7
1095,3
1096,6
1097,3
1098,3
1099,3
1100,9
1101,8
1102,4
1103,3
1104,9
1105,8
1106,2
1107,7
1108,6
1109,2
1110,2
1111,3
1112,8
1113,0
1114,4
1115,0
1116,7
1117,2
1118,6
1119,5
1120,8
1121,3
1122,5
1123,2
1124,9
1125,6
1126,9
1127,4
1128,2
1129,4
1130,2
1131,0
1132,9
1133,8
1134,0
1135,3
1136,6
1137,8
1138,7
1139,2
1140,2
1141,6
1142,0
1143,4
1144,4
1145,2
1146,8
1147,8
1148,5
1149,5
1150,3
1151,6
1152,3
1153,8
1154,2
1155,3
1156,8
1157,5
1158,9
1159,8
1160,0
1161,3
1162,9
1163,9
1164,0
1165,6
1166,3
1167,8
1168,4
1169,8
1170,5
1171,5
1172,2
1173,5
1174,4
1175,8
1176,9
1177,2
1178,3
1179,2
1180,5
1181,9
1182,8
1183,8
1184,8
1185,0
1186,3
1187,0
1188,3
1189,7
1190,3
1191,2
1192,7
1193,9
1194,8
1195,8
1196,8
1197,9
1198,2
1199,8
1200,8
1201,2
1202,8
1203,7
1204,0
1205,1
1206,2
1207,3
1208,6
1209,8
1210,0
1211,4
1212,7
1213,8
1214,4
1215,4
1216,3
1217,4
1218,1
